col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
4259,-1.0,1.109,1.125,7.239481,1.088,7.242384,1.084,0.882,0.787,1.344,0.536,1.653,0.422,2.347,13,1.58105,1.0798,0.996,1.0732
4260,-1.0,2.203,1.94,9.402802,1.523,11.28064,1.704,0.798,1.376,2.212,0.365,2.437,0.119,2.719,13,3.81187,1.7032,0.999,1.2873
4261,-1.0,0.534,1.2,11.94799,0.534,11.94799,1.053,0.631,0.561,1.458,0.363,2.318,0.148,2.718,13,5.30613,1.0515,0.999,1.3774
4262,-1.0,1.307,1.183,12.65778,1.284,12.66241,1.169,0.92,1.029,1.37,0.452,1.492,0.336,1.664,13,1.85457,1.1686,0.999,1.5819
4263,-1.0,1.4,1.861,14.44069,1.4,14.44069,1.52,0.889,1.258,1.707,1.062,2.709,0.53,3.107,13,4.5469,1.5177,0.998,1.4782
4264,-1.0,2.948,2.778,20.6588,0.519,23.55682,1.666,0.143,0.514,3.023,0.421,3.266,0.342,3.436,13,60.7189,0.7899,0.597,2.9413
4265,-1.0,1.239,1.16,6.939478,1.217,6.955067,1.126,0.982,0.913,1.324,0.729,1.458,0.579,1.65,13,0.806532,1.1256,0.999,0.9173
4266,-1.0,1.284,1.28,4.275284,1.261,4.36747,1.269,1.0,1.188,1.351,1.127,1.423,1.078,1.484,13,0.177403,1.2692,1.0,1.3498
4267,-1.0,2.61,2.628,19.21402,2.61,19.21402,2.621,1.0,2.55,2.695,2.504,2.759,2.464,2.812,13,0.668571,2.6214,0.998,2.5719
4268,-1.0,0.694,2.841,6.633703,0.694,6.633703,2.831,0.238,0.735,4.918,0.09,5.835,0.011,5.956,7,47.155,2.8005,0.994,1.3795
4269,-1.0,0.89,0.903,5.073627,0.89,5.073627,0.897,1.0,0.798,0.997,0.713,1.096,0.662,1.232,12,0.321791,0.8967,0.999,0.8714
4270,-1.0,0.474,0.836,18.68359,0.504,18.69072,0.822,0.799,0.492,1.141,0.356,1.365,0.244,1.617,13,3.28211,0.8212,0.998,0.4052
4271,-1.0,0.504,1.539,6.324597,0.504,6.324597,1.079,0.482,0.438,1.8,0.202,2.944,0.049,3.323,13,5.60566,1.0764,0.999,0.6393
4272,-1.0,2.4,2.384,145.4728,2.333,146.4179,2.362,1.0,2.295,2.433,2.241,2.478,2.121,2.516,13,5.74682,2.3612,0.991,2.3916
4273,-1.0,1.307,2.285,6.981712,1.307,6.981712,2.285,0.37,1.121,3.719,0.721,4.872,0.543,5.858,11,14.2879,2.2577,0.992,0.9749
4274,-1.0,0.308,0.405,5.210917,0.361,5.272211,0.431,0.935,0.303,0.556,0.192,0.784,0.097,0.918,13,0.571631,0.4311,0.999,0.6553
4275,-1.0,0.504,0.503,10.20762,0.504,10.20762,0.503,1.0,0.477,0.529,0.423,0.551,0.312,0.729,13,0.425563,0.5012,0.993,0.507
4276,-1.0,2.172,1.75,7.040858,1.473,7.315888,1.577,0.761,1.157,2.065,0.494,2.348,0.1,2.643,13,2.48324,1.5754,0.998,0.6725
4277,-1.0,0.348,0.267,5.283329,0.403,5.328475,0.347,0.965,0.226,0.461,0.053,0.523,0.013,0.616,13,0.329824,0.3472,1.0,0.3449
4278,-1.0,1.652,1.614,33.72798,1.625,33.76144,1.604,1.0,1.531,1.674,1.476,1.715,1.443,1.759,13,1.08427,1.6043,1.0,1.5581
4279,-1.0,1.152,1.11,20.83789,1.152,20.83789,1.09,0.964,0.92,1.268,0.601,1.393,0.374,1.494,13,2.44841,1.0903,0.999,0.7055
4280,-1.0,0.519,0.854,11.75142,0.519,11.75142,0.833,0.708,0.457,1.196,0.22,1.505,0.079,3.123,13,5.38061,0.8118,0.988,0.7911
4281,-1.0,1.13,1.144,12.66781,1.13,12.66781,1.14,1.0,1.06,1.222,1.022,1.313,0.929,1.379,13,0.570625,1.1397,0.999,1.1772
4282,-1.0,4.936,3.148,8.116384,4.936,8.116384,3.147,0.216,0.868,5.081,0.204,5.86,0.022,5.957,9,45.6888,3.1138,0.989,0.5609
4283,-1.0,0.27,0.413,4.540889,0.534,4.869211,0.466,0.896,0.24,0.663,0.144,0.893,0.063,1.381,13,0.851494,0.4637,0.997,0.3117
4284,-1.0,1.449,2.248,6.454121,1.449,6.454121,1.552,0.939,1.278,1.823,1.13,2.413,1.027,3.242,13,1.59404,1.5472,0.997,2.1204
4285,-1.0,0.474,0.704,13.17459,0.474,13.17459,0.696,0.856,0.453,1.028,0.387,1.3,0.288,1.485,13,2.1901,0.6948,0.999,0.5335
4286,-1.0,1.424,1.432,13.46449,1.424,13.46449,1.423,1.0,1.353,1.5,1.233,1.562,1.102,1.645,13,0.730961,1.4235,0.998,1.4783
4287,-1.0,1.498,1.507,13.24267,1.498,13.24267,1.492,1.0,1.414,1.571,1.342,1.646,1.278,1.746,13,0.61986,1.4921,0.999,1.4227
4288,-1.0,1.217,1.382,25.07519,1.217,25.07519,1.332,0.966,1.149,1.526,1.062,1.882,0.956,2.445,13,3.94464,1.329,0.996,1.2485
4289,-1.0,1.027,0.983,12.81249,1.027,12.81249,0.978,1.0,0.903,1.054,0.834,1.135,0.775,1.194,13,0.554049,0.9781,0.999,0.9263
4290,-1.0,2.078,2.217,4.884526,2.018,4.935905,1.981,0.942,1.648,2.307,1.338,2.641,1.215,3.106,13,1.03032,1.979,0.998,1.5082
4291,-1.0,2.538,2.296,19.04826,2.538,19.04826,1.964,0.824,1.422,2.51,0.545,2.623,0.513,2.724,13,6.24955,2.1265,0.891,2.4653
4292,-1.0,4.648,3.645,6.819447,0.781,8.770645,1.056,0.817,0.677,1.302,0.418,3.44,0.267,4.867,13,5.37692,0.9712,0.972,0.8798
4293,-1.0,0.184,0.177,15.45499,0.208,15.55372,0.216,1.0,0.124,0.311,0.055,0.381,0.015,0.448,13,0.680478,0.2163,1.0,0.1147
4294,-1.0,3.067,3.143,13.5442,2.987,13.86986,2.874,0.999,2.483,3.125,2.388,3.31,2.306,3.627,8,4.18632,2.8728,0.999,2.6055
4295,-1.0,0.474,0.446,10.22533,0.474,10.22533,0.485,0.913,0.343,0.638,0.157,0.877,0.05,0.995,10,1.52558,0.4844,1.0,0.3426
4296,-1.0,3.027,1.89,14.08106,0.565,14.37358,1.308,0.258,0.433,2.501,0.141,3.173,0.039,3.544,13,23.0464,1.3036,0.998,0.3118
4297,-1.0,0.348,0.292,16.5861,0.348,16.5861,0.342,0.968,0.199,0.434,0.096,0.816,0.035,0.937,13,1.56091,0.3273,0.972,0.4301
4298,-1.0,0.549,0.641,7.878568,0.565,7.889672,0.654,0.928,0.533,0.804,0.373,1.093,0.129,1.221,10,1.38808,0.6533,0.999,0.6161
4299,-1.0,0.549,0.545,1183.169,0.549,1183.169,0.545,1.0,0.527,0.566,0.514,0.572,0.511,0.573,13,7.2362,0.5453,1.0,0.5354
4300,-1.0,0.161,0.152,38.10714,0.161,38.10714,0.153,1.0,0.129,0.176,0.11,0.192,0.09,0.212,13,0.4662,0.153,1.0,0.1316
4301,-1.0,1.047,1.079,15.00966,1.047,15.00966,1.076,1.0,1.032,1.125,1.018,1.199,0.775,1.295,13,0.826226,1.0771,0.997,1.1426
4302,-1.0,0.22,0.227,13.30445,0.22,13.30445,0.23,1.0,0.192,0.269,0.167,0.297,0.144,0.329,13,0.248481,0.2299,1.0,0.2682
4303,-1.0,0.534,1.566,22.18442,0.534,22.18442,1.24,0.378,0.469,1.923,0.264,2.265,0.194,2.472,13,16.2255,1.2387,0.999,1.1543
4304,-1.0,0.967,0.954,29.04349,0.967,29.04349,0.948,0.982,0.854,1.044,0.707,1.199,0.336,1.309,13,2.88363,0.9474,0.999,1.1216
4305,-1.0,1.047,1.033,6.285171,1.047,6.285171,1.015,1.0,0.926,1.101,0.87,1.152,0.793,1.184,13,0.295147,1.0145,0.999,1.0749
4306,-1.0,1.047,1.094,15.66685,1.047,15.66685,1.091,1.0,1.039,1.146,0.971,1.187,0.904,1.244,13,0.545048,1.0913,0.999,1.0777
4307,-1.0,1.705,1.667,11.77378,1.678,11.87661,1.641,1.0,1.512,1.765,1.403,1.861,1.243,1.969,13,0.874934,1.6414,0.999,1.7113
4308,-1.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99,-99.0,-99.0,-99.0,-99.0
4309,-1.0,3.318,2.592,6.045951,0.417,6.478369,1.175,0.27,0.388,2.412,0.233,3.419,0.088,3.984,13,15.0639,1.169,0.998,0.5336
4310,-1.0,0.01,0.072,19.73732,0.051,20.51336,0.111,0.995,0.041,0.18,0.014,0.262,0.01,0.367,13,0.821338,0.1114,1.0,0.1174
4311,-1.0,0.062,0.067,33.0977,0.072,33.34003,0.068,1.0,0.053,0.083,0.047,0.091,0.041,0.104,10,0.301859,0.0678,1.0,0.0685
4312,-1.0,0.403,0.323,18.23808,0.403,18.23808,0.357,0.988,0.308,0.423,0.11,0.46,0.026,0.499,10,1.29645,0.3574,1.0,0.4046
4313,-1.0,2.078,2.187,9.040112,1.239,9.052572,1.386,0.558,0.732,2.03,0.476,2.784,0.255,3.843,13,5.99869,1.3769,0.996,1.7194
4314,-1.0,1.261,1.298,31.57629,1.261,31.57629,1.285,1.0,1.19,1.387,1.084,1.473,1.0,1.598,11,2.37429,1.2846,0.999,1.2215
4315,-1.0,0.549,0.573,7.195365,0.549,7.195365,0.578,0.999,0.532,0.63,0.484,0.673,0.214,0.705,13,0.360116,0.579,0.998,0.5906
4316,-1.0,1.523,1.594,6.835256,1.473,6.836572,1.556,1.0,1.43,1.682,1.36,1.884,1.284,2.029,13,0.517057,1.556,0.999,1.4696
4317,-1.0,1.152,1.037,3.419292,1.088,3.44733,1.03,0.962,0.817,1.241,0.532,1.371,0.225,1.481,13,0.537848,1.0315,0.998,1.3994
4318,-1.0,1.047,1.007,16.43001,0.967,16.82971,0.994,1.0,0.925,1.073,0.832,1.119,0.698,1.159,13,0.782708,0.9943,0.999,1.0552
4319,-1.0,0.46,0.429,3.030646,0.46,3.030646,0.441,0.991,0.343,0.523,0.259,0.708,0.125,0.821,13,0.219144,0.4407,0.999,0.3432
4320,-1.0,0.534,0.444,19.33111,0.534,19.33111,0.496,0.88,0.23,0.692,0.071,0.817,0.023,2.664,13,6.68564,0.4861,0.994,0.5091
4321,-1.0,0.245,0.243,18.93172,0.282,18.94635,0.257,1.0,0.186,0.329,0.128,0.383,0.066,0.422,13,0.674212,0.2566,1.0,0.2362
4322,-1.0,1.068,0.985,3.859117,1.068,3.859117,0.97,0.993,0.77,1.143,0.659,1.284,0.492,1.408,13,0.575801,0.9699,0.999,1.2761
4323,-1.0,1.4,1.34,21.21758,1.4,21.21758,1.32,1.0,1.2,1.428,0.942,1.466,0.875,1.506,13,1.50456,1.3201,0.999,1.3915
4324,-1.0,1.173,1.164,24.81828,1.173,24.81828,1.162,1.0,1.107,1.214,1.065,1.265,1.037,1.342,13,0.762738,1.1619,1.0,1.1895
4325,-1.0,1.4,1.356,16.69893,1.4,16.69893,1.335,1.0,1.235,1.431,1.174,1.484,1.122,1.534,13,0.729517,1.3344,0.999,1.2686
4326,-1.0,3.914,3.213,0.697717,3.914,0.697717,3.205,0.302,1.167,5.138,0.157,5.864,0.012,5.957,5,12.8049,3.1725,0.991,1.1454
4327,-1.0,5.428,5.37,22.3694,0.489,38.96152,2.337,0.0,0.5,5.367,0.407,5.566,0.332,5.712,13,2.33617E27,0.6351,0.635,5.2492
4328,-1.0,2.203,2.096,5.672065,2.172,5.7528,1.962,0.925,1.594,2.264,0.912,2.451,0.585,2.663,13,1.63987,1.9642,0.997,2.2387
4329,-1.0,0.678,0.665,8.231087,0.678,8.231087,0.67,0.982,0.569,0.772,0.496,0.967,0.308,1.169,13,0.721894,0.67,0.998,0.6667
4330,-1.0,2.235,2.018,10.99398,0.534,13.77279,1.507,0.339,0.563,2.25,0.327,2.491,0.18,2.794,13,11.5986,1.5055,0.999,0.6862
4331,-1.0,1.047,0.937,17.74218,1.047,17.74218,0.929,0.977,0.771,1.087,0.527,1.172,0.318,1.269,12,2.10925,0.9291,0.999,0.8129
4332,-1.0,0.094,0.7,22.88235,0.105,22.92829,0.913,0.152,0.105,1.627,0.036,2.155,0.012,2.458,13,47.4878,0.9118,0.999,0.0661
4333,-1.0,0.257,0.263,176.4718,0.257,176.4718,0.265,1.0,0.229,0.302,0.203,0.325,0.18,0.342,13,2.86731,0.2651,1.0,0.2466
4334,-1.0,1.473,1.37,30.99117,1.473,30.99117,1.424,0.96,1.418,1.532,0.098,1.591,0.04,1.659,13,5.2267,1.4783,0.958,1.4894
4335,-1.0,0.565,0.576,7.456656,0.565,7.456656,0.555,0.999,0.45,0.652,0.293,0.71,0.225,0.799,8,0.877775,0.5552,1.0,0.6331
4336,-1.0,1.625,2.149,1.991324,1.473,2.140524,1.634,0.875,1.267,1.996,0.999,2.567,0.816,3.505,10,0.874821,1.6281,0.996,1.728
4337,-1.0,0.105,0.136,19.80914,0.127,19.92192,0.189,0.996,0.092,0.313,0.033,0.391,0.011,0.478,13,0.991702,0.1886,1.0,0.171
4338,-1.0,2.078,2.18,13.13029,2.078,13.13029,2.141,1.0,2.031,2.269,1.922,2.406,1.751,2.588,13,1.10872,2.1407,0.999,2.1579
4339,-1.0,0.967,1.02,6.994921,0.967,6.994921,0.992,0.976,0.79,1.195,0.675,1.37,0.462,1.942,13,1.06988,0.9898,0.997,1.3121
4340,-1.0,2.719,3.202,2.618736,2.719,2.618736,3.201,0.426,1.756,4.803,0.497,5.812,0.073,5.956,8,7.54271,3.1779,0.992,1.5698
4341,-1.0,0.549,0.574,11.40723,0.549,11.40723,0.572,1.0,0.531,0.619,0.513,0.674,0.479,0.7,13,0.257704,0.5722,1.0,0.5929
4342,-1.0,0.835,0.806,6.798875,0.661,6.993918,0.787,1.0,0.659,0.916,0.609,1.01,0.577,1.084,13,0.345553,0.7873,1.0,0.7807
4343,-1.0,3.493,3.092,5.8022,2.14,7.534283,2.459,0.914,2.079,2.914,1.811,3.501,1.537,3.932,13,1.66553,2.4567,0.998,2.0237
4344,-1.0,1.732,1.727,27.37717,1.705,27.44796,1.705,1.0,1.593,1.815,1.484,1.925,1.374,2.07,13,1.91236,1.7049,0.999,1.5979
4345,-1.0,0.694,1.061,21.67651,0.694,21.67651,1.024,0.882,0.682,1.354,0.519,1.458,0.497,1.559,13,3.03528,1.0239,0.999,1.2246
4346,-1.0,2.987,3.097,1.529908,2.048,1.837648,2.071,0.796,1.548,2.593,1.262,3.29,1.079,4.081,13,0.673072,2.0642,0.997,1.7304
4347,-1.0,1.027,1.035,2.870696,1.007,2.881818,1.01,0.978,0.814,1.219,0.63,1.387,0.466,1.523,13,0.311152,1.0095,0.999,1.264
4348,-1.0,1.307,1.243,10.88362,1.284,10.92315,1.229,0.998,1.073,1.363,0.891,1.433,0.761,1.503,13,0.871293,1.2296,0.999,1.2727
