id,ra,dec,xpix,ypix,HAWKIKs_tot,K_flag,K_star,K_fluxrad,totmask,HAWKIKs,eHAWKIKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,HAWKIY,eHAWKIY,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
773,53.721176,-29.457993,2185.78,1936.11,7.718,0,0.68,2.395,0,4.194,0.918,0.474,0.074,0.643,0.058,0.963,0.104,1.841,0.068,2.751,0.144,2.681,0.308,3.082,0.208,4.09,0.461,2.654,0.823,0.953,0.547,-10.79,4.994,8.299,4.77
774,53.785427,-29.458088,1178.75,1934.5,10.241,0,0.71,2.127,0,6.121,0.933,0.694,0.061,0.851,0.052,0.925,0.086,1.069,0.058,1.578,0.132,1.681,0.283,2.559,0.213,3.492,0.426,8.09,1.381,8.797,1.952,1.127,5.368,-22.366,5.592
775,53.782215,-29.458117,1229.12,1933.99,10.288,0,0.65,2.247,0,6.429,0.944,0.083,0.061,0.258,0.052,0.483,0.086,0.44,0.058,0.428,0.132,0.337,0.282,0.64,0.211,1.184,0.429,5.905,1.054,8.2,1.661,17.993,4.464,22.584,3.782
776,53.80711,-29.458464,838.94,1927.62,255.105,0,0.03,2.742,0,144.19,1.011,3.441,0.061,6.16,0.053,16.458,0.086,28.059,0.058,47.351,0.132,55.816,0.282,62.659,0.22,85.085,0.429,68.366,3.933,63.119,4.851,29.782,4.854,88.485,4.102
777,53.70454,-29.45812,2446.5,1933.68,61.056,0,0.01,3.683,1,28.193,0.93,2.346,0.075,2.741,0.068,3.478,0.105,4.629,0.079,7.275,0.186,10.251,0.398,11.549,0.21,-999.0,9999.0,24.195,2.679,22.425,2.762,3.617,3.717,5.019,3.638
778,53.694393,-29.458344,2605.55,1929.59,15.599,0,0.43,3.286,1,9.328,0.937,1.32,0.105,1.801,0.083,1.771,0.148,1.858,0.115,2.749,0.229,3.107,0.478,5.194,0.213,-999.0,9999.0,10.054,1.218,8.35,1.226,8.949,2.18,4.924,1.982
779,53.752254,-29.458416,1698.72,1928.61,59.348,0,0.72,1.96,0,38.873,0.933,-0.065,0.061,0.185,0.052,0.351,0.086,1.444,0.058,5.504,0.132,8.765,0.282,12.048,0.213,19.037,0.427,43.423,2.438,34.256,2.987,15.855,5.138,0.711,4.297
780,53.788605,-29.458282,1129.0,1930.99,3.971,0,0.52,1.666,0,3.868,0.937,-0.0,0.061,0.06,0.052,0.224,0.085,0.298,0.058,0.724,0.132,0.904,0.281,0.88,0.212,1.514,0.425,6.185,1.004,4.716,1.261,5.418,3.449,-2.664,2.95
781,53.747089,-29.458666,1779.62,1924.08,41.278,0,0.0,4.648,0,16.659,1.163,1.606,0.061,2.219,0.052,3.45,0.086,6.094,0.058,8.462,0.132,9.258,0.282,10.709,0.253,12.503,0.426,8.801,1.048,6.048,1.195,9.914,3.042,3.062,2.461
782,53.68124,-29.458744,2811.67,1922.24,45.642,0,0.56,2.048,1,29.57,0.955,-0.117,0.105,0.126,0.117,0.538,0.148,1.287,0.114,5.56,0.32,6.443,0.681,9.929,0.213,-999.0,9999.0,29.465,2.942,22.873,2.991,13.443,3.853,-7.022,4.261
