id,ra,dec,xpix,ypix,HAWKIKs_tot,K_flag,K_star,K_fluxrad,totmask,HAWKIKs,eHAWKIKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,DECamz,eDECamz,FOURSTARJ1,eFOURSTARJ1,HAWKIJ,eHAWKIJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
1667,8.999893,-43.18528,938.86,1887.69,3.547,0,0.1,1.317,0,2.042,0.399,0.348,0.083,0.335,0.057,0.291,0.092,0.51,0.078,0.713,0.13,0.763,0.129,1.029,0.429,1.534,0.194,2.834,0.411,3.606,0.464,-6.956,2.067,-1.889,2.627
1668,8.872766,-43.185287,2607.36,1887.15,1.445,0,0.64,1.169,1,0.936,0.533,0.201,0.096,0.653,0.074,0.753,0.113,0.883,0.096,0.908,0.155,0.894,0.126,-999.0,9999.0,1.273,0.282,1.339,0.295,1.031,0.336,0.436,1.519,-6.551,1.961
1669,8.961936,-43.185696,1437.02,1880.36,36.664,0,0.01,3.52,0,15.034,0.403,0.751,0.083,0.75,0.057,1.255,0.092,2.145,0.078,4.577,0.128,5.336,0.137,6.426,0.432,8.096,0.196,13.667,0.253,10.003,0.296,6.346,1.31,7.097,1.59
1670,8.990111,-43.185543,1067.24,1883.04,42.898,0,0.04,1.724,0,23.444,0.432,-0.018,0.083,0.017,0.057,-0.013,0.092,0.104,0.078,0.614,0.139,1.022,0.128,2.778,0.428,7.041,0.223,30.851,0.314,35.321,0.358,36.31,1.635,17.668,2.104
1671,9.010371,-43.185452,801.34,1884.52,13.857,0,0.0,2.111,0,7.524,0.403,1.297,0.096,1.864,0.074,3.402,0.112,4.154,0.088,4.867,0.158,5.151,0.139,5.666,0.622,6.892,0.196,2.286,0.315,2.493,0.359,-0.028,1.573,6.67,2.034
1672,9.024688,-43.185356,613.44,1886.1,4.106,0,0.08,1.569,0,2.497,0.503,0.084,0.096,0.3,0.074,0.602,0.111,0.784,0.1,0.902,0.157,1.059,0.129,1.624,0.507,1.582,0.231,3.703,0.361,4.565,0.41,5.719,1.829,-0.075,2.336
1673,9.016009,-43.185543,727.34,1882.88,52.675,0,0.03,1.654,0,29.75,0.433,0.017,0.096,0.222,0.074,0.47,0.112,1.328,0.095,4.789,0.158,7.612,0.145,9.358,0.651,14.343,0.201,31.716,0.295,24.753,0.337,10.612,1.482,8.0,1.857
1674,9.055459,-43.18544,209.58,1884.2,19.791,0,0.03,1.805,1,12.222,0.6,0.362,0.166,0.474,0.09,1.005,0.158,2.172,0.134,4.445,0.225,5.536,0.142,6.574,0.422,7.428,0.27,11.076,0.201,6.903,0.193,9.1,1.663,4.63,0.994
1675,9.059635,-43.185356,154.77,1885.66,4.536,0,0.97,1.146,1,1.934,0.601,-0.014,0.166,0.234,0.09,0.434,0.158,1.035,0.164,2.263,0.226,2.718,0.137,3.227,0.429,3.038,0.274,2.236,1.14,4.411,1.099,14.041,9.101,121.922,5.433
1676,9.07101,-43.185421,5.48,1884.29,7.182,16,0.01,2.651,1,4.397,0.801,0.373,0.172,0.508,0.088,0.84,0.154,1.653,0.162,0.315,0.209,2.295,0.16,1.688,0.426,2.572,0.349,0.654,0.242,0.208,0.25,-5.22,1.964,-7.694,1.843
1677,9.039596,-43.185677,417.79,1880.17,33.641,0,0.03,2.813,0,15.826,0.599,2.438,0.166,2.926,0.09,4.875,0.158,7.398,0.104,8.964,0.183,10.758,0.152,11.052,0.423,11.841,0.27,7.739,0.274,6.19,0.313,8.243,1.316,0.001,1.649
1678,8.878961,-43.185619,2526.04,1881.31,4.11,3,0.0,1.684,1,5.095,0.54,0.681,0.096,0.862,0.074,1.638,0.112,1.692,0.096,2.472,0.155,3.132,0.129,-999.0,9999.0,2.653,0.285,2.575,0.147,2.183,0.172,5.423,0.751,2.156,0.9
1679,8.878916,-43.185989,2526.63,1874.64,19.535,2,0.1,1.909,1,11.035,0.557,1.479,0.102,2.072,0.074,4.234,0.113,5.979,0.096,7.015,0.155,7.81,0.137,-999.0,9999.0,8.491,0.286,4.665,0.245,3.971,0.283,6.041,1.247,10.426,1.557
1680,8.864702,-43.185692,2713.17,1879.78,5.59,0,0.14,1.45,1,3.309,0.548,0.766,0.096,1.436,0.074,2.089,0.112,2.476,0.118,2.365,0.178,2.522,0.126,-999.0,9999.0,2.489,0.292,2.215,0.304,2.397,0.344,-6.735,1.547,1.728,1.951
1681,8.884424,-43.185658,2454.34,1880.67,6.234,0,0.62,1.425,1,3.304,0.543,1.192,0.096,1.32,0.074,2.512,0.113,3.348,0.096,3.315,0.155,3.321,0.129,3.727,1.226,3.211,0.287,1.539,0.337,1.441,0.389,8.732,1.64,-13.735,1.911
1682,8.923113,-43.185757,1946.57,1879.21,20.007,0,0.44,1.374,0,12.348,0.407,0.006,0.083,0.024,0.057,0.001,0.092,0.213,0.078,0.834,0.128,1.514,0.125,3.009,0.426,4.893,0.197,15.72,0.302,15.334,0.346,5.659,1.537,-0.824,1.963
1683,8.855175,-43.182484,2838.29,1937.4,5.997,0,0.01,1.466,1,4.074,0.561,0.844,0.165,0.828,0.09,0.926,0.161,1.312,0.137,2.238,0.217,2.474,0.169,-999.0,9999.0,2.747,0.326,2.048,0.291,1.479,0.298,25.641,2.986,-8.678,1.601
1684,9.001886,-43.186005,912.71,1874.64,12.239,0,0.0,2.371,0,6.397,0.409,0.254,0.083,0.522,0.057,0.926,0.092,0.902,0.078,1.245,0.128,1.484,0.125,1.477,0.452,3.057,0.196,7.017,0.285,8.017,0.324,5.62,1.45,10.178,1.824
1685,8.974306,-43.185978,1274.68,1875.28,9.688,0,0.01,1.711,0,5.516,0.409,1.221,0.083,1.744,0.057,2.888,0.092,3.732,0.078,4.049,0.128,4.388,0.132,3.956,0.422,4.671,0.197,1.652,0.303,1.449,0.344,0.596,1.538,-0.556,2.013
1686,8.967342,-43.186008,1366.08,1874.75,3.368,0,0.0,1.941,0,2.118,0.407,0.484,0.083,0.635,0.057,0.64,0.092,0.584,0.078,0.591,0.128,0.601,0.122,0.621,0.428,1.264,0.195,1.164,0.368,0.906,0.416,-3.43,1.872,5.006,2.291
1687,8.935566,-43.186165,1783.12,1871.87,44.467,2,0.08,1.56,0,25.737,0.449,0.145,0.083,0.323,0.057,0.372,0.092,0.7,0.078,2.277,0.128,3.929,0.13,7.253,0.423,11.012,0.219,30.352,0.293,28.2,0.338,17.391,1.473,13.952,1.915
1688,8.935862,-43.18647,1779.24,1866.41,4.945,3,0.01,2.055,0,6.947,0.448,0.304,0.083,0.522,0.057,0.633,0.092,0.723,0.078,1.277,0.128,2.335,0.124,2.968,0.423,3.64,0.218,9.659,0.16,8.731,0.184,5.457,0.805,2.572,1.047
1689,9.006263,-43.186172,855.27,1871.6,101.995,0,0.05,1.667,0,56.248,0.41,-0.144,0.085,0.442,0.064,3.118,0.093,7.686,0.085,17.155,0.14,21.262,0.166,27.139,0.503,32.254,0.197,32.847,0.305,24.165,0.347,16.323,1.552,8.209,2.042
1690,8.970868,-43.186207,1319.8,1871.17,33.521,0,0.74,1.366,0,19.829,0.412,1.122,0.083,1.324,0.057,1.587,0.092,2.063,0.078,3.896,0.128,5.656,0.134,8.293,0.428,10.735,0.196,21.479,0.294,20.101,0.333,10.828,1.497,13.868,1.902
1691,8.845104,-43.186214,2970.38,1870.08,40.32,0,0.76,2.123,1,21.186,1.036,0.548,0.166,0.914,0.09,1.195,0.161,1.593,0.138,2.135,0.218,2.539,0.125,-999.0,9999.0,8.071,0.802,23.171,0.328,29.175,0.338,34.666,2.64,16.781,2.674
1692,8.899145,-43.186234,2261.12,1870.41,3.782,0,0.0,1.924,0,2.006,0.482,0.662,0.094,0.664,0.057,0.658,0.099,0.616,0.078,0.771,0.128,1.093,0.121,0.823,0.426,1.24,0.238,1.342,0.332,1.732,0.382,-4.518,1.668,-6.76,2.138
1693,8.916266,-43.186199,2036.42,1871.15,2.11,0,0.51,1.131,0,1.575,0.409,-0.0,0.083,0.191,0.057,0.133,0.092,0.186,0.078,0.285,0.128,0.433,0.12,0.293,0.423,0.878,0.197,2.046,0.33,1.641,0.377,-0.363,1.68,-0.054,2.134
1694,8.921902,-43.186886,1962.45,1858.84,83.233,0,0.03,4.524,0,28.084,0.419,0.58,0.083,0.889,0.057,1.081,0.092,1.63,0.08,3.521,0.128,6.117,0.133,9.646,0.427,12.589,0.197,32.895,0.245,32.467,0.28,24.227,1.251,9.633,1.595
1695,8.944505,-43.186329,1665.8,1869.0,2.547,0,0.13,1.51,0,1.483,0.437,0.403,0.083,0.466,0.057,0.516,0.091,0.548,0.078,0.607,0.127,0.775,0.121,0.689,0.424,1.368,0.211,1.491,0.265,0.84,0.308,0.831,1.316,0.893,1.706
1696,8.963888,-43.186489,1411.41,1866.09,21.448,0,0.03,2.135,0,11.251,0.412,-0.014,0.083,0.09,0.057,0.116,0.092,0.105,0.078,0.414,0.128,0.657,0.121,1.179,0.426,3.328,0.197,17.063,0.269,21.675,0.311,16.405,1.396,6.684,1.711
1697,8.857651,-43.18642,2805.7,1866.57,3.003,0,0.12,1.56,1,2.061,0.6,0.579,0.166,0.866,0.09,1.295,0.161,1.718,0.139,1.758,0.218,1.789,0.122,-999.0,9999.0,2.004,0.317,1.268,0.246,0.795,0.282,4.664,1.471,5.607,1.564
1698,8.87516,-43.186615,2575.91,1863.32,39.25,0,0.03,2.375,1,19.812,0.576,5.404,0.096,6.471,0.074,11.473,0.113,14.263,0.096,15.3,0.155,16.895,0.155,-999.0,9999.0,16.243,0.289,7.816,0.278,6.851,0.319,0.623,1.444,9.601,1.805
1699,8.895806,-43.186649,2304.94,1862.92,44.345,0,0.58,1.622,0,24.362,0.535,1.004,0.083,1.385,0.061,2.543,0.092,3.719,0.078,8.132,0.128,9.819,0.14,10.868,0.504,15.63,0.256,21.871,0.292,16.043,0.341,16.961,1.481,4.226,1.862
