id,ra,dec,xpix,ypix,FOURSTARKs_tot,K_flag,K_star,K_fluxrad,totmask,FOURSTARKs,eFOURSTARKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,FOURSTARJ1,eFOURSTARJ1,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2
122,31.438534,-58.559315,1504.87,125.04,16.086,0,0.05,2.606,1,8.288,0.585,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,1.032,0.592,3.841,0.444,-999.0,9999.0,10.166,0.884
123,31.569929,-58.558086,271.15,145.96,88.776,0,0.03,3.816,1,38.223,0.571,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,26.381,0.563,28.963,0.431,-999.0,9999.0,17.263,1.385
124,31.582197,-58.558884,156.0,131.39,23.82,0,0.05,2.537,1,13.302,0.569,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,6.424,0.565,7.72,0.431,-999.0,9999.0,4.479,0.906
125,31.342409,-58.559074,2407.41,128.68,8.651,1,0.69,3.143,1,6.543,0.649,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,3.974,1.605,6.39,1.518,-999.0,9999.0,-999.0,9999.0
126,31.52422,-58.55883,700.36,133.23,10.05,0,0.03,2.621,1,5.818,0.658,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,3.159,0.765,2.983,1.584,-999.0,9999.0,7.815,0.735
127,31.445854,-58.558453,1436.15,140.58,27.299,0,0.02,2.639,1,14.585,0.586,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,11.104,0.576,13.274,0.468,-999.0,9999.0,3.801,0.515
128,31.43428,-58.559406,1544.81,123.38,2.665,0,0.26,1.862,1,1.963,0.59,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-0.041,0.583,0.991,0.438,-999.0,9999.0,3.377,0.563
129,31.451048,-58.557789,1387.38,152.5,157.09,0,0.03,4.486,1,58.324,0.582,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,35.489,0.585,40.786,0.452,-999.0,9999.0,27.104,1.413
130,31.458725,-58.557831,1315.29,151.73,120.81,0,0.98,1.992,1,72.04,0.586,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,123.642,0.578,118.362,0.45,-999.0,9999.0,17.995,1.262
131,31.585579,-58.558945,124.25,130.16,6.952,0,0.98,0.84,1,4.831,0.572,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,0.195,0.572,-0.176,0.435,-999.0,9999.0,-1.095,0.597
132,31.487455,-58.558384,1045.53,141.61,18.327,0,0.01,3.016,1,9.177,0.577,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,4.919,0.575,5.984,0.442,-999.0,9999.0,3.083,0.468
133,31.452732,-58.558765,1371.57,134.92,5.584,0,0.6,2.012,1,3.611,0.595,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,-999.0,9999.0,3.193,0.582,4.269,0.443,-999.0,9999.0,2.072,0.401
