col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20
663,-1.0,2.367,2.417,5.799338,0.694,10.30804,1.756,0.437,0.678,2.424,0.449,2.722,0.382,3.307,11,12.4087,1.7541,0.998,2.166
664,-1.0,1.759,1.658,9.46124,1.498,9.861726,1.616,0.999,1.449,1.793,1.361,1.918,1.277,2.001,11,0.906165,1.6165,0.999,1.6225
665,-1.0,0.781,0.872,0.6339096,0.781,0.6339096,0.858,0.978,0.661,1.063,0.537,1.23,0.363,1.424,11,0.0931181,0.8579,0.999,0.7686
666,-1.0,1.988,2.261,3.050863,1.424,4.596596,1.557,0.7,1.011,2.056,0.744,2.573,0.547,3.449,11,2.28526,1.5512,0.996,1.31
667,-1.0,1.871,2.173,3.801291,1.4,4.235465,1.593,0.885,1.253,1.939,0.976,2.466,0.761,3.049,11,1.25963,1.5902,0.997,1.243
668,-1.0,2.61,2.594,416.4099,2.61,416.4099,2.584,1.0,2.489,2.677,2.427,2.734,2.362,2.801,11,22.8768,2.583,0.996,2.7143
669,-1.0,0.872,0.875,1.895011,0.872,1.895011,0.87,1.0,0.791,0.951,0.736,1.035,0.678,1.097,11,0.0993792,0.8696,0.999,0.8989
670,-1.0,1.088,1.005,3.340891,1.088,3.340891,0.994,0.999,0.838,1.147,0.704,1.257,0.593,1.383,11,0.358746,0.9934,0.999,1.0691
671,-1.0,0.799,0.825,4.671625,0.799,4.671625,0.822,1.0,0.779,0.867,0.754,0.899,0.707,0.933,11,0.13258,0.8219,0.999,0.828
672,-1.0,1.13,1.134,38.18191,1.13,38.18191,1.119,1.0,1.06,1.204,0.847,1.254,0.741,1.307,11,2.71808,1.1186,1.0,1.1597
673,-1.0,1.088,1.05,47.77636,0.948,47.83618,1.003,0.953,0.822,1.192,0.464,1.381,0.307,2.086,11,11.1898,0.9974,0.994,1.0457
674,-1.0,0.711,0.748,63.49815,0.711,63.49815,0.718,1.0,0.685,0.751,0.671,0.818,0.62,0.886,11,2.11393,0.7183,0.999,0.693
675,-1.0,0.46,0.46,13.10087,0.46,13.10087,0.459,1.0,0.428,0.491,0.402,0.518,0.356,0.554,11,0.325,0.4591,1.0,0.4592
676,-1.0,1.988,2.792,0.3762551,0.987,1.634065,1.473,0.611,0.882,2.029,0.485,2.712,0.133,3.872,5,4.52811,1.4637,0.996,0.877
677,-1.0,1.473,2.771,1.100728,1.4,1.205864,1.56,0.728,1.079,2.049,0.808,2.765,0.548,3.783,11,0.626395,1.5538,0.995,0.8532
678,-1.0,0.909,0.952,1.047748,0.872,1.060331,0.901,0.976,0.685,1.114,0.564,1.28,0.453,1.483,11,0.138286,0.9007,0.998,1.1719
679,-1.0,0.928,0.984,6.828743,0.928,6.828743,0.977,1.0,0.876,1.086,0.802,1.152,0.744,1.205,11,0.417485,0.9775,0.999,0.9712
680,-1.0,1.027,1.043,3.296057,0.928,3.562314,1.021,1.0,0.898,1.15,0.826,1.262,0.758,1.399,11,0.263992,1.0213,0.999,0.8613
681,-1.0,5.056,5.104,230.7578,5.056,230.7578,5.085,1.0,4.993,5.179,4.968,5.252,4.912,5.27,11,10.321,5.0845,0.999,5.0528
682,-1.0,1.047,1.124,54.22399,1.027,54.24856,1.041,0.908,0.821,1.255,0.488,1.585,0.335,2.083,11,13.0513,1.0393,0.998,1.1212
683,-1.0,0.431,0.431,9.77013,0.431,9.77013,0.432,1.0,0.392,0.473,0.357,0.511,0.284,0.539,11,0.311093,0.4319,1.0,0.4268
684,-1.0,0.987,0.959,5.053329,0.987,5.053329,0.955,1.0,0.869,1.039,0.798,1.102,0.746,1.16,11,0.265078,0.9546,1.0,0.9689
685,-1.0,0.853,0.676,2.649029,0.853,2.649029,0.749,0.831,0.469,1.021,0.168,1.208,0.034,1.384,11,0.585174,0.7488,0.999,0.8061
686,-1.0,1.007,1.578,7.580869,1.007,7.580869,1.329,0.789,0.965,1.903,0.88,2.213,0.767,2.577,11,2.95265,1.3281,0.999,1.2824
687,-1.0,1.088,0.985,8.769481,1.088,8.769481,0.965,0.999,0.756,1.155,0.642,1.227,0.575,1.29,11,1.2755,0.9645,1.0,1.0997
688,-1.0,0.948,0.949,20.86919,0.948,20.86919,0.944,1.0,0.836,1.051,0.759,1.133,0.678,1.209,11,1.38637,0.9437,0.999,0.9567
689,-1.0,1.843,1.685,1.58782,1.815,1.651952,1.564,0.877,1.167,1.893,0.827,2.024,0.693,2.238,11,0.851885,1.5632,0.998,1.9498
690,-1.0,1.958,2.105,22.53957,1.929,22.57356,2.017,1.0,1.884,2.202,1.804,2.338,1.733,2.433,11,2.07982,2.0167,0.999,1.8324
691,-1.0,0.987,1.047,9.523901,0.967,9.566236,1.032,1.0,0.945,1.127,0.903,1.213,0.866,1.293,11,0.517058,1.0321,0.999,0.9431
692,-1.0,1.958,2.856,1.37463,1.652,2.116347,1.758,0.841,1.349,2.122,1.037,2.847,0.74,3.673,11,0.853404,1.7519,0.996,1.9019
693,-1.0,0.565,0.586,8.949307,0.565,8.949307,0.588,0.992,0.517,0.654,0.437,0.844,0.259,0.992,11,0.843843,0.5876,0.999,0.5741
694,-1.0,0.763,0.821,1.753549,0.763,1.753549,0.809,1.0,0.74,0.882,0.711,0.989,0.688,1.06,11,0.11817,0.8089,0.999,0.7393
695,-1.0,0.01,0.017,198.2598,0.01,198.2598,0.041,1.0,0.012,0.103,0.01,0.117,0.01,0.121,11,2.75069,0.01,0.685,0.0177
696,-1.0,1.173,1.142,4.273341,1.152,4.292991,1.101,0.905,0.847,1.307,0.611,1.6,0.481,1.859,11,0.858975,1.1013,0.998,0.8661
697,-1.0,3.865,3.811,272.5263,3.583,275.797,3.656,1.0,3.506,3.821,3.388,3.933,3.263,4.06,8,43.7754,3.6558,0.999,3.5714
698,-1.0,0.928,0.984,5.359974,0.928,5.359974,0.979,1.0,0.872,1.096,0.785,1.178,0.683,1.26,11,0.406911,0.9786,1.0,1.0106
699,-1.0,0.909,0.953,4.620256,0.89,4.652165,0.937,1.0,0.848,1.044,0.75,1.145,0.704,1.219,11,0.321883,0.9365,0.999,0.9735
700,-1.0,0.051,0.053,376.2414,0.051,376.2414,0.054,1.0,0.04,0.066,0.036,0.076,0.035,0.077,11,1.97078,0.0537,1.0,0.0535
701,-1.0,1.284,1.246,20.87983,1.284,20.87983,1.156,0.998,1.039,1.302,0.833,1.357,0.694,1.442,11,2.1942,1.1554,0.999,1.0796
702,-1.0,0.89,0.95,4.458293,0.89,4.458293,0.927,1.0,0.857,1.018,0.826,1.11,0.783,1.169,11,0.316869,0.9271,0.999,0.8352
703,-1.0,0.417,0.42,6.744973,0.417,6.744973,0.421,1.0,0.389,0.456,0.35,0.479,0.295,0.504,11,0.176,0.4211,1.0,0.4471
704,-1.0,0.208,0.22,13.30053,0.196,13.62871,0.207,1.0,0.181,0.235,0.167,0.261,0.155,0.285,11,0.215301,0.2069,1.0,0.1989
