PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,UMINB,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
165,1.368,0.681,1.136,0.929,0.999,0.71,1.18,1.289,0,0,0
166,1.368,0.606,0.812,0.7,0.942,0.805,1.341,0.895,0,0,0
167,1.368,0.691,1.047,0.766,0.819,0.732,1.215,1.243,0,0,0
168,1.368,0.681,1.562,1.334,1.079,0.708,1.176,1.9,0,0,0
169,1.368,0.681,0.97,0.511,0.239,0.719,1.194,1.443,0,0,0
170,1.368,0.751,1.32,1.356,1.282,0.758,1.353,1.41,0,0,0
171,1.368,0.63,0.753,0.454,1.275,0.753,0.78,0.483,0,0,0
172,1.368,0.674,1.084,0.82,0.669,0.721,1.196,1.316,0,0,0
173,1.368,0.517,0.476,0.041,0.562,0.769,1.279,0.567,0,0,0
174,1.368,0.565,0.645,0.397,1.036,0.765,1.016,0.574,0,0,0
175,1.368,0.796,2.167,1.514,1.81,1.422,2.34,1.246,0,0,0
176,1.368,0.598,0.6,0.33,0.923,0.756,1.256,0.517,0,0,0
177,1.368,0.816,1.333,0.958,1.601,0.727,1.178,0.753,0,0,0
178,1.368,0.927,1.835,1.151,1.28,0.838,1.678,1.246,0,0,0
179,1.368,0.842,1.46,0.904,0.957,0.856,1.434,1.341,0,0,0
180,1.368,0.523,0.454,-0.058,0.331,0.753,1.252,0.431,0,0,0
181,1.368,0.694,0.645,0.32,0.512,0.758,1.26,0.921,0,0,0
182,1.368,0.673,0.948,0.711,1.773,0.483,0.714,0.384,0,0,0
183,1.368,0.612,0.556,0.289,1.285,0.695,0.591,0.306,0,0,0
184,1.368,1.128,0.387,-0.06,0.09,0.426,1.693,1.413,0,0,0
185,1.368,0.645,0.721,0.46,0.834,0.759,1.262,0.772,0,0,0
186,1.368,0.575,0.749,0.981,1.182,0.786,0.852,0.997,0,0,0
187,1.368,0.679,0.847,0.631,0.679,0.726,1.204,0.998,0,0,0
188,1.368,0.679,1.134,1.04,0.944,0.711,1.18,1.346,0,0,0
189,1.368,0.673,0.514,-0.039,0.245,0.436,1.229,0.671,0,0,0
190,1.368,0.739,0.88,0.567,0.937,0.814,1.358,0.888,0,0,0
191,1.368,0.474,0.426,-0.06,0.24,0.228,1.128,0.422,0,0,0
192,1.368,0.669,0.599,0.231,0.267,0.728,1.208,0.843,0,0,0
193,1.368,0.69,1.3,1.027,2.006,0.525,0.865,0.63,0,0,0
194,1.368,0.694,1.183,0.942,0.613,0.704,1.174,1.891,0,0,0
195,1.368,0.765,1.96,1.604,1.845,0.881,1.491,1.304,0,0,0
196,1.368,0.692,0.98,0.621,0.284,0.718,1.194,1.43,0,0,0
197,1.368,0.683,1.042,0.906,1.2,0.695,1.172,1.054,0,0,0
198,1.368,0.681,0.651,0.245,0.386,0.744,1.236,0.888,0,0,0
199,1.368,0.671,0.954,0.71,0.569,0.725,1.203,1.389,0,0,0
200,1.368,0.838,1.583,1.019,1.391,0.838,1.57,1.003,0,0,0
201,1.368,0.79,1.25,0.845,1.27,0.797,1.326,0.931,0,0,0
202,1.368,0.599,0.737,0.33,0.746,0.781,1.3,0.818,0,0,0
203,1.368,0.674,1.282,1.089,1.411,0.672,1.304,1.071,0,0,0
204,1.368,0.481,0.555,-0.059,0.282,0.245,1.297,0.75,0,0,0
205,1.368,0.699,0.926,0.753,1.023,0.729,1.21,0.994,0,0,0
206,1.368,0.917,0.831,0.428,0.287,0.816,1.384,1.278,0,0,0
207,1.368,0,0,0,-1,0,0,0,0,0,0
208,1.368,0.709,0.876,0.765,1.055,0.738,1.224,0.963,0,0,0
209,1.368,0.691,0.889,0.734,0.878,0.728,1.208,0.991,0,0,0
210,1.368,0.67,0.648,0.424,0.71,0.713,1.184,0.657,0,0,0
211,1.368,1.019,2.126,1.232,1.105,0.794,1.595,1.539,0,0,0
212,1.368,0.738,1.138,0.632,0.366,0.795,1.328,1.641,0,0,0
213,1.368,1.009,1.802,0.803,0.943,0.905,1.56,1.246,0,0,0
214,1.368,1.059,2.263,1.548,2.156,1.343,2.198,1.517,0,0,0
215,1.368,0.676,0.53,0.139,0.242,0.72,1.195,0.688,0,0,0
216,1.368,0.733,1.036,0.826,0.931,0.763,1.268,1.137,0,0,0
217,1.368,0.67,0.462,0.04,0.266,0.58,1.199,0.455,0,0,0
218,1.368,0.782,1.316,1.005,0.993,0.806,1.343,1.374,0,0,0
219,1.368,0.509,0.421,-0.057,0.373,0.759,1.262,0.332,0,0,0
220,1.368,0.752,1.293,0.749,0.216,0.732,1.224,1.817,0,0,0
221,1.368,0.916,1.67,1.874,1.628,0.858,1.434,1.849,0,0,0
222,1.368,0.332,0.28,-0.059,0.596,0.784,1.307,0.242,0,0,0
223,1.368,0.742,1.029,0.701,0.771,0.78,1.3,1.238,0,0,0
224,1.368,1.401,2.05,1.914,2.237,1.351,2.2,1.911,0,0,0
225,1.368,0.708,0.996,0.592,0.248,0.721,1.2,1.468,0,0,0
226,1.368,0.694,0.809,0.713,0.843,0.734,1.218,0.908,0,0,0
227,1.368,0.669,0.683,0.405,0.426,0.719,1.193,0.862,0,0,0
228,1.368,0.685,0.726,0.603,0.84,0.708,1.185,0.768,0,0,0
229,1.368,0.71,0.37,-0.058,0.207,0.528,1.201,0.284,0,0,0
230,1.368,0.784,2.154,1.7,1.872,1.049,1.755,1.582,0,0,0
231,1.368,0.827,1.31,0.897,0.677,0.849,1.423,1.572,0,0,0
232,1.368,0.763,1.18,0.634,0.197,0.735,1.229,1.714,0,0,0
233,1.368,0.809,1.045,0.69,0.263,0.755,1.271,1.553,0,0,0
234,1.368,0.744,1.045,1.298,1.172,0.763,1.267,1.34,0,0,0
