PHOTID,CLUSTERZ,UMINB,UMINV,VMINJ,INDIVZ,U_B,U_V,V_J,"source(1=GOGREEN,2=GCLASS,3=SPT,4=FORS2,5=NED)",quality,GOGREENSPECID
3999,1.335,0.343,0.538,0.529,1.978,0.378,0.601,0.327,0,0,0
4000,1.335,0.213,0.181,0.679,0.48,0.512,0.647,0.837,0,0,0
4001,1.335,0.369,0.558,0.06,1.207,0.357,0.562,0.125,0,0,0
4002,1.335,0.835,1.333,0.72,1.121,0.985,1.502,0.849,0,0,0
4003,1.335,0.505,0.662,0.321,0.528,0.613,1.04,0.902,0,0,0
4004,1.335,0.214,0.182,-0.059,0.353,0.396,0.506,0.303,0,0,0
4005,1.335,0.327,0.349,-0.055,0.952,0.337,0.395,0.007,0,0,0
4006,1.335,0.386,0.546,0.081,0.684,0.401,0.661,0.537,0,0,0
4007,1.335,0.295,0.414,0.077,0.583,0.267,0.346,0.839,0,0,0
4008,1.335,0.403,0.502,0.354,0.568,0.582,0.834,0.757,0,0,0
4009,1.335,0.24,0.229,-0.019,0.545,0.364,0.543,0.294,0,0,0
4010,1.335,0.684,1.225,0.669,1.643,0.599,0.857,0.508,0,0,0
4011,1.335,0.365,0.438,-0.015,0.766,0.509,0.633,0.195,0,0,0
4012,1.335,0.484,0.628,0.224,0.509,0.684,1.084,0.856,0,0,0
4013,1.335,0.595,0.793,0.694,0.823,0.626,0.983,0.806,0,0,0
4014,1.335,0.427,0.518,-0.06,0.837,0.431,0.528,0.111,0,0,0
4015,1.335,0.289,0.313,0.06,1.102,0.302,0.325,0.199,0,0,0
4016,1.335,0.312,0.356,0.285,0.599,0.417,0.584,0.524,0,0,0
4017,1.335,0.212,0.209,0.042,1.548,0.212,0.279,0.2,0,0,0
4018,1.335,0.401,0.499,0.27,0.555,0.594,0.861,0.702,0,0,0
4019,1.335,0.893,1.582,1.164,1.409,0.905,1.599,1.115,0,0,0
4020,1.335,0.88,1.534,1.776,1.462,0.829,1.505,1.725,0,0,0
4021,1.335,0.292,0.355,0.658,0.694,0.342,0.425,1.112,0,0,0
4022,1.335,0.792,1.264,0.527,0.817,0.979,1.597,1.024,0,0,0
4023,1.335,0.604,0.806,0.744,4.712,0.623,0.803,0.611,0,0,0
4024,1.335,0.564,0.746,-0.06,0.086,1.438,2.338,1.27,0,0,0
4025,1.335,0.796,1.296,0.938,0.956,0.931,1.55,1.329,0,0,0
4026,1.335,1.067,1.784,1.511,1.459,0.975,1.546,1.421,0,0,0
4027,1.335,0.217,0.268,1.444,2.372,0.643,1.164,1.007,0,0,0
