id,ra,dec,xpix,ypix,FOURSTARKs_tot,K_flag,K_star,K_fluxrad,totmask,FOURSTARKs,eFOURSTARKs,VIMOSU,eVIMOSU,VIMOSB,eVIMOSB,VIMOSV,eVIMOSV,VIMOSR,eVIMOSR,VIMOSI,eVIMOSI,VIMOSz,eVIMOSz,FOURSTARJ1,eFOURSTARJ1,FOURSTARJ,eFOURSTARJ,IRAC1,eIRAC1,IRAC2,eIRAC2,IRAC3,eIRAC3,IRAC4,eIRAC4
1148,34.967812,-5.553904,851.73,978.41,2.948,0,0.5,1.755,0,3.08,0.665,0.303,0.095,0.489,0.077,0.95,0.138,1.741,0.123,2.41,0.175,2.449,0.436,3.355,0.466,2.27,0.508,3.575,0.867,0.443,1.442,9.24,6.057,19.703,6.526
1149,34.972301,-5.553978,771.31,977.07,4.505,0,0.52,2.316,0,3.771,0.743,0.286,0.116,0.426,0.099,1.349,0.17,1.559,0.14,1.619,0.216,1.408,0.535,1.65,0.517,1.306,0.635,2.473,0.805,4.939,1.062,-7.511,5.366,-4.23,4.962
1150,34.922596,-5.554117,1661.84,974.6,8.143,0,0.1,2.362,0,6.415,0.663,1.969,0.095,2.178,0.077,2.423,0.138,2.521,0.123,3.936,0.175,4.847,0.436,5.308,0.472,4.957,0.509,9.516,1.138,5.899,1.945,7.829,8.24,-0.237,9.304
1151,34.905128,-5.554438,1974.74,968.8,282.54,0,0.93,2.263,0,213.649,0.663,0.692,0.095,3.3,0.077,13.425,0.138,27.861,0.123,131.202,0.175,168.043,0.436,225.431,0.464,246.022,0.508,96.858,0.491,58.382,1.346,59.608,6.688,17.097,5.947
1152,34.907516,-5.554476,1931.96,968.12,102.042,0,0.03,3.0,0,65.032,0.663,0.356,0.095,0.58,0.077,1.389,0.138,3.538,0.123,12.103,0.175,18.728,0.436,27.848,0.466,34.414,0.508,75.553,0.842,64.458,1.307,27.945,6.126,31.876,6.183
1153,34.962631,-5.554247,944.57,972.24,11.052,0,0.31,3.44,0,7.323,0.668,1.541,0.095,2.387,0.077,4.268,0.138,4.966,0.123,5.886,0.175,6.282,0.436,5.923,0.471,7.214,0.508,4.014,0.698,3.385,1.08,14.925,5.501,-11.173,5.091
1154,34.987221,-5.554376,504.0,969.88,20.921,0,0.92,2.256,0,16.074,0.791,3.242,0.115,4.128,0.099,4.998,0.169,8.649,0.148,12.347,0.216,10.852,0.533,13.868,0.526,12.933,0.621,11.384,0.483,6.541,1.091,10.483,6.084,6.769,5.386
1155,34.965469,-5.554837,893.73,961.62,333.675,0,0.05,2.871,0,215.228,0.663,0.835,0.095,3.742,0.077,14.287,0.138,39.115,0.123,76.551,0.175,84.641,0.436,101.45,0.468,121.012,0.515,122.123,0.931,85.357,1.334,53.02,5.777,21.261,6.305
1156,34.968258,-5.554564,843.77,966.52,6.266,0,0.77,0.969,0,5.628,0.662,0.043,0.107,-0.127,0.077,-0.08,0.138,-0.123,0.123,0.001,0.175,-0.277,0.436,-0.311,0.471,-0.301,0.508,1.09,0.758,0.986,1.327,-20.335,5.277,2.223,5.604
1157,34.943371,-5.554621,1289.62,965.51,6.773,0,0.65,2.722,0,4.754,0.666,1.059,0.094,1.295,0.077,2.169,0.138,3.176,0.123,3.669,0.175,3.698,0.436,3.259,0.466,3.335,0.514,0.79,0.698,-0.09,1.053,-3.245,4.764,5.97,5.303
